,text,withheld_in_countries,hashtags,lang,possibly_sensitive,verified_account,followers_count,location,withheld_anywhere,popularity_score
16874, รุกโคตรควยใหญ่ เย็ดแกร็บ ep.5 #รีทวิตด้วยน้าา  #โบท #สวิ้งกิ้ง #รุกรับสลับเย็ด #ขออนุญาติเจ้าของคลิป #นัดเย็ด #ควยใหญ่ #เย็…,['XX'],"['รีทวิตด้วยน้าา', 'โบท', 'สวิ้งกิ้ง', 'รุกรับสลับเย็ด', 'ขออนุญาติเจ้าของคลิป', 'นัดเย็ด', 'ควยใหญ่']",th,0.0,False,9,,True,0.000967354892284241
16875, รุกโคตรควยใหญ่ เย็ดแกร็บ ep.5 #รีทวิตด้วยน้าา  #โบท #สวิ้งกิ้ง #รุกรับสลับเย็ด #ขออนุญาติเจ้าของคลิป #นัดเย็ด #ควยใหญ่ #เย็…,['XX'],"['รีทวิตด้วยน้าา', 'โบท', 'สวิ้งกิ้ง', 'รุกรับสลับเย็ด', 'ขออนุญาติเจ้าของคลิป', 'นัดเย็ด', 'ควยใหญ่']",th,0.0,False,9,,True,0.000967354892284241
17467, ชายแท้มาขอผลัดเสียบเลยจัดให้ก่อนเปิดซิงครางซะเสียวเลย อย่าแปลกใจภาพทำไมลางๆไม่ชัดตั้งใจทำจะได้ไม่รู้ว่าใคร ของจริงอยู่บล้อกลั…,['XX'],[],th,0.0,False,199,,True,3.858010034670901e-05
17468, ชายแท้มาขอผลัดเสียบเลยจัดให้ก่อนเปิดซิงครางซะเสียวเลย อย่าแปลกใจภาพทำไมลางๆไม่ชัดตั้งใจทำจะได้ไม่รู้ว่าใคร ของจริงอยู่บล้อกลั…,['XX'],[],th,0.0,False,199,,True,3.858010034670901e-05
18831, ทำเอาป้าทั้งเสียวทั้งมันขอบคุณมากๆนะคะที่มาใช้บริการ ,['XX'],[],th,0.0,False,8,,True,2.0911716256096992e-05
18832, ทำเอาป้าทั้งเสียวทั้งมันขอบคุณมากๆนะคะที่มาใช้บริการ ,['XX'],[],th,0.0,False,8,,True,2.0911716256096992e-05
21112," เย็ดเด็ก Ep.2
ฝนตกไฟดับเด็กสาวอยู่บ้าน
คนเดียวโทเรียกรปภ.ขี้เงี่ยน
ในหมู่บ้านมาซ่อมไฟ สมัคร
ชมเวอร์ชั่นเต็มไลน์ ID:SC459
300 ตล…",['XX'],[],th,0.0,False,0,,True,0.0
21113," เย็ดเด็ก Ep.2
ฝนตกไฟดับเด็กสาวอยู่บ้าน
คนเดียวโทเรียกรปภ.ขี้เงี่ยน
ในหมู่บ้านมาซ่อมไฟ สมัคร
ชมเวอร์ชั่นเต็มไลน์ ID:SC459
300 ตล…",['XX'],[],th,0.0,False,0,,True,0.0
21264, ใครนวดเป็น​ ยกมือขึ้น🥰 ,['XX'],[],th,0.0,False,43,,True,2.1045306362326745e-05
21265, ใครนวดเป็น​ ยกมือขึ้น🥰 ,['XX'],[],th,0.0,False,43,,True,2.1045306362326745e-05
21631," ฟินฟินกับหนังเกย์เต็มเรื่อง 📺🎬
🏳️‍🌈🏳️‍🌈 ดูกันเพลินๆ ไม่มีอะไรมากั่น
ดูได้ที่นี้ 👉🏻🤤 

รับแข็งสู้มากๆๆ…",['XY'],[],th,0.0,False,5,,True,1.6839557278608994e-07
21632," ฟินฟินกับหนังเกย์เต็มเรื่อง 📺🎬
🏳️‍🌈🏳️‍🌈 ดูกันเพลินๆ ไม่มีอะไรมากั่น
ดูได้ที่นี้ 👉🏻🤤 

รับแข็งสู้มากๆๆ…",['XY'],[],th,0.0,False,5,,True,1.6839557278608994e-07
22765, ของเค้าดีจริงแนวเอ้าดอร์ของแท้เห็นเลยยิบมาใากให้ดูเล่นๆๆ   อยากเจอสาวเดียวสาวใหญ่หรือคู่แนวนี้จังถ้าสนใจแนวนี้พิกัดสุรินท…,['XX'],[],th,0.0,False,1,,True,2.9497384037543624e-07
22766, ของเค้าดีจริงแนวเอ้าดอร์ของแท้เห็นเลยยิบมาใากให้ดูเล่นๆๆ   อยากเจอสาวเดียวสาวใหญ่หรือคู่แนวนี้จังถ้าสนใจแนวนี้พิกัดสุรินท…,['XX'],[],th,0.0,False,1,,True,2.9497384037543624e-07
23761," แอบชักว่าวหนุ่มรอยสักหลับลึก
ลักหลับชายแท้ ควยดำ #โป๊มั้ยพี่ #อร่อยไปแดก #ควยดำ #ลักหลับ #ควยชายแท้ #ควย ",['XX'],"['โป๊มั้ยพี่', 'อร่อยไปแดก', 'ควยดำ', 'ลักหลับ', 'ควยชายแท้', 'ควย']",th,0.0,False,2,,True,8.42878945529742e-06
23762," แอบชักว่าวหนุ่มรอยสักหลับลึก
ลักหลับชายแท้ ควยดำ #โป๊มั้ยพี่ #อร่อยไปแดก #ควยดำ #ลักหลับ #ควยชายแท้ #ควย ",['XX'],"['โป๊มั้ยพี่', 'อร่อยไปแดก', 'ควยดำ', 'ลักหลับ', 'ควยชายแท้', 'ควย']",th,0.0,False,2,,True,8.42878945529742e-06
24711, สำหรับคนนอนดึก8... จุกหรือมันส์ว่ามา ,['XX'],[],th,0.0,False,9,,True,9.187132708834384e-06
24712, สำหรับคนนอนดึก8... จุกหรือมันส์ว่ามา ,['XX'],[],th,0.0,False,9,,True,9.187132708834384e-06
25686, เย็ดแรงจนกล้องสั่น😆 ,['XX'],[],th,0.0,False,277,,True,0.003973953989572176
25687, เย็ดแรงจนกล้องสั่น😆 ,['XX'],[],th,0.0,False,277,,True,0.003973953989572176
26149, ไทยเก่า 02 ,['XX'],[],th,0.0,False,26,,True,4.272488414124505e-06
26150, ไทยเก่า 02 ,['XX'],[],th,0.0,False,26,,True,4.272488414124505e-06
27027, น้องเงี่ยน เดินชักว่าวคาชุดนักเรียน ในโรงเรียน ,['XX'],[],th,0.0,False,13504,,True,0.0007004198052497968
27028, น้องเงี่ยน เดินชักว่าวคาชุดนักเรียน ในโรงเรียน ,['XX'],[],th,0.0,False,13504,,True,0.0007004198052497968
27728, เย็ดแรงจนกล้องสั่น😆 ,['XX'],[],th,0.0,False,253,,True,0.0002930707723990159
27729, เย็ดแรงจนกล้องสั่น😆 ,['XX'],[],th,0.0,False,253,,True,0.0002930707723990159
28444," 2น้ำแสบๆ เหนื่อยใจจะขาด😭😭😭😭
(ท่าให้ขึ้นเองสู่ตายค่ะ)😂😁😋 ",['XX'],[],th,0.0,False,185,,True,0.00025498321517202914
28445," 2น้ำแสบๆ เหนื่อยใจจะขาด😭😭😭😭
(ท่าให้ขึ้นเองสู่ตายค่ะ)😂😁😋 ",['XX'],[],th,0.0,False,185,,True,0.00025498321517202914
30405, อากาศก็หนาวหำก็หดเสื้อก็อดถอดแย่จัง🥶 ,['XX'],[],th,1.0,False,219,,True,0.004079915322690781
30406, อากาศก็หนาวหำก็หดเสื้อก็อดถอดแย่จัง🥶 ,['XX'],[],th,1.0,False,219,,True,0.004079915322690781
30699, ค้างค้างอยู่ใครอยากจะมาเล่นด้วยทักด่วน ,['XX'],[],th,0.0,False,290,,True,0.0006308645064914981
30700, ค้างค้างอยู่ใครอยากจะมาเล่นด้วยทักด่วน ,['XX'],[],th,0.0,False,290,,True,0.0006308645064914981
30875, อากาศก็หนาวหำก็หดเสื้อก็อดถอดแย่จัง🥶 ,['XX'],[],th,1.0,False,27,,True,3.2609886254088504e-06
30876, อากาศก็หนาวหำก็หดเสื้อก็อดถอดแย่จัง🥶 ,['XX'],[],th,1.0,False,27,,True,3.2609886254088504e-06
32521, ร้อนมากเลยอ่ะ ไปอาบน้ำด้วยกันไหม ,['XX'],[],th,1.0,False,40,,True,0.00039982162145507167
32522, ร้อนมากเลยอ่ะ ไปอาบน้ำด้วยกันไหม ,['XX'],[],th,1.0,False,40,,True,0.00039982162145507167
32790," 2.หน้าฟินเลยนะ สงสัยจะชอบ
#ฝากรีทวิตด้วยนะครับ
#ฝากติดตามทวิตด้วยครับ ",['XX'],"['ฝากรีทวิตด้วยนะครับ', 'ฝากติดตามทวิตด้วยครับ']",th,0.0,False,8,,True,3.266997891791681e-05
32791," 2.หน้าฟินเลยนะ สงสัยจะชอบ
#ฝากรีทวิตด้วยนะครับ
#ฝากติดตามทวิตด้วยครับ ",['XX'],"['ฝากรีทวิตด้วยนะครับ', 'ฝากติดตามทวิตด้วยครับ']",th,0.0,False,8,,True,3.266997891791681e-05
32813," 2.หน้าฟินเลยนะ สงสัยจะชอบ
#ฝากรีทวิตด้วยนะครับ
#ฝากติดตามทวิตด้วยครับ ",['XX'],"['ฝากรีทวิตด้วยนะครับ', 'ฝากติดตามทวิตด้วยครับ']",th,0.0,False,13,,True,2.4476943264519916e-05
32814," 2.หน้าฟินเลยนะ สงสัยจะชอบ
#ฝากรีทวิตด้วยนะครับ
#ฝากติดตามทวิตด้วยครับ ",['XX'],"['ฝากรีทวิตด้วยนะครับ', 'ฝากติดตามทวิตด้วยครับ']",th,0.0,False,13,,True,2.4476943264519916e-05
33455, คืนนี้ขอแค่ 5 ควย เวียนเยสยันเช้า ใครสน DM มา รุก แมนๆ ชายแท้ ขอแค่อย่าเยอะ อย่าหลอน อย่าร่ำ และอย่ากั๊กฟิว ด่วนๆจำนวนจำกัด,['XX'],[],th,0.0,False,56,,True,2.4086198668406437e-06
33456, คืนนี้ขอแค่ 5 ควย เวียนเยสยันเช้า ใครสน DM มา รุก แมนๆ ชายแท้ ขอแค่อย่าเยอะ อย่าหลอน อย่าร่ำ และอย่ากั๊กฟิว ด่วนๆจำนวนจำกัด,['XX'],[],th,0.0,False,56,,True,2.4086198668406437e-06
36016, เสียงครางมึงเเม่งน่าเก็บบันทึกไว้ไม่ให้ใครได้ยินนอกจากกูเลย คนเหี้ยอะไรแม่งเสียงหวานชิบหายหวานทั้งตัว ขาวๆเเบบนี้อยู่ใกล้…,['XX'],[],th,0.0,False,4,,True,0.00039913176278264824
36017, เสียงครางมึงเเม่งน่าเก็บบันทึกไว้ไม่ให้ใครได้ยินนอกจากกูเลย คนเหี้ยอะไรแม่งเสียงหวานชิบหายหวานทั้งตัว ขาวๆเเบบนี้อยู่ใกล้…,['XX'],[],th,0.0,False,4,,True,0.00039913176278264824
37691, เด็ดๆ ,['XX'],[],th,0.0,False,81,,True,6.099673213659734e-05
37692, เด็ดๆ ,['XX'],[],th,0.0,False,81,,True,6.099673213659734e-05
38102," กางเกงรัดกล้ามเนื้อขายาวสีเงิน Skindex เนื้อผ้า Nylon Spandex ยืดหยุ่น 4 ทิศทาง ไร้ตะเข็บ หน้า-หลัง
size S  เอว 28-30 นิ้ว…",['XX'],[],th,0.0,False,740,,True,0.0029932306300673017
38103," กางเกงรัดกล้ามเนื้อขายาวสีเงิน Skindex เนื้อผ้า Nylon Spandex ยืดหยุ่น 4 ทิศทาง ไร้ตะเข็บ หน้า-หลัง
size S  เอว 28-30 นิ้ว…",['XX'],[],th,0.0,False,740,,True,0.0029932306300673017
42335, ศิลปินดีๆที่ไหนจะทำร้ายเเฟนคลับตัวเองวะ เอางี้ก่อน,[],[],th,0.0,False,23,,False,0.0027279076729995605
42340, การเผารูปไม่ผิด ไม่ได้ทำให้คนตาย คนในรูปก็ไม่ได้ตายเพราะถูกเผารูป ต้องสร้างชุดคิดกันก่อนว่า เผารูปไม่ผิด แต่กฏหมาย ปท เราดันเ…,[],[],th,0.0,False,163,,False,0.013497704158022346
42341," การเผาพระบรมในครั้งนี้เป็นฝีมือของผม
และผมขอรับผิดชอบไว้แต่เพียงผู้เดียว 
ไม่มีส่วนเกี่ยวข้องกับกลุ่มการเคลื่อนไหวหรือ…",[],[],th,0.0,False,482,,False,0.0009487942096618002
42342, เฮียเหรินเฟบ น้องอินจุนรี🤔,[],[],th,0.0,False,10,,False,0.0005903402820431091
42351,น่ารักกกกก นี่แหละ #ไบร์ทวิน,[],['ไบร์ทวิน'],th,0.0,False,904,,False,0.001062037497090051
42364, ว้อย แทแทเอาขวกไปอุดทางน้ำ555555โอ้ยตลก ,[],[],th,0.0,False,457,,False,0.006670568021942668
42374, What เจนนี่เซ็นรับของให้น้องสมบัติที่ส่งมาที่ตึกวายจี อะไรวะเนี่ยยยย 55555555555555555555555555555555555555,[],[],th,0.0,False,98,,False,0.006601253674862437
42375, ตอนนี้มิวออกข่าวไทยรัฐ คุณหนุ่มกรรชัยยังพูดว่าคล้ายจริงๆ มดดำบอกว่าเหมือน,[],[],th,0.0,False,9,,False,0.0021450102215469506
42384, ละมึงดูฟค.ม ,[],[],th,0.0,False,27,,False,3.121952428795821e-05
42406, ฉันก็ไม่เชื่อ,[],[],th,0.0,False,3278,,False,0.0005373557195055293
42407, ขอโทษนะคะ แต่ทำไมถึงแถลงแค่ในไอจี ทำไมถึงไม่แถลงทุกช่องทาง เวลาโปรโมทก็ลงได้ แต่เวลาแถลงกลับลงไม่ได้ หรือว่ากลัวคนรู้เยอะคะ…,[],[],th,0.0,False,130,,False,0.002749801969064458
42424, ขออีก5นาทีค้าบ 😪 ,[],[],th,0.0,False,182,,False,0.00025253052529599355
42426, ปีนี้ GMM SHOW จะมีคอนเสิร์ตฟิน ๆ อีกมากมาย,[],[],th,0.0,False,60,,False,0.004076389406556911
42435, อย่าปล่อยแมวไว้กับพ่อแมว กุไม่ไหวละ 555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555…,[],[],th,0.0,False,268,,False,0.00022381026732390985
42501, ชอบชื่อเพลย์ลิสต์อะ 555555555 ,[],[],th,0.0,False,1813,,False,0.0009596527967810889
42524,@artsinlapa23 ดิชั้นจะจำแล้วนำไปใช้ค่ะ🥲 ขอบคุณมากมาย,[],[],th,0.0,False,193,,False,0.0015105125109192076
42582, เป็นเอ็นดู 55555 ,[],[],th,0.0,False,17,,False,0.0013093978265709281
42594, ชิปแจโด โน่มิน คือที่สุด,[],[],th,0.0,False,451,,False,0.00036924363414899113
42598, สลิ่มบอกพวกสามกีบมองแต่เรื่องแย่ๆทำไมไม่เดินบนราวเหล็ก ,[],[],th,0.0,False,51,,False,0.001020505770807651
42600, อีช่องสลิ่มขาดทุนมาแล้วสามปีซ้อน พี่ทุยสรุปไว้ว่าเนื่องจากมันไม่พัฒนาตัวเอง ติดอยู่กับอะไรเดิมๆ คนดูทีวีน้อยลง เม็ดเงินจากโฆ…,[],[],th,0.0,False,369,,False,0.002734073457394175
42602, อยากมีแฟนคลั่งรักแบบนี้บ้าง 🥲 ,[],[],th,0.0,False,230,,False,0.00010259618182017338
42616, พื้นผมเราอ่อนนะ เคยฟอกแล้ว1 เลยติดแบบเป๊ะมากๆๆๆ ,[],[],th,0.0,False,320,,False,0.000433552183032187
42649,@Jeff_1402 คุณพฤกษ์สาขาการละคร เอาสุพรรณหงส์ไปเลยจ้าลูก,[],[],th,0.0,False,901,,False,0.005405438687022622
42656, @khunlp_ ลองไปอัดเสียงมา โคตรได้ ! 555 ,[],[],th,0.0,False,3,,False,0.00011010611691314157
42701," ""พยอนฮีซู""ถูกพบเสียชีวิตในบ้านวันนี้

พยอนฮีซูเคยเป็นทหารแต่ถูกปลด เพราะแปลงเพศระหว่างรับราชการทหาร แต่พยอนฮีซูยังอยากเ…",[],[],th,0.0,False,170,,False,0.0016482240959680473
42710," สั่งน้องไวเบรเตอร์มาจาก Aliexpress 
สรุปคือโดนยึดของจ้ะ 😡🔥
โมโหหหหหหห มันควรจะถูกกฏหมายได้แล้วมะ คือน้องก็หน้าตาน่ารักด้วยนะ ไ…",[],[],th,0.0,False,375,,False,0.021881953040040553
42726, แจยอน นายเอ็นดูพี่โดยอง เก็บอาการไม่มิดเลย อ่ยรอยยิ้มแมว รอยยิ้มกาต่าย น่ารักๆๆๆๆๆๆ ,[],[],th,0.0,False,783,,False,0.007659834866751731
42747, @Tawan_V @backaof @Earth_Pirapat อยากกราบแนบนิ้วคุณย่าเบยพี่เต,[],[],th,0.0,False,1014,,False,0.050434506401059696
42751, แนะนำสเปรดทาขนมปังอีกอันนึง เหมือนนูเทลล่ามากกกกกกกกกก เค้าเป็น Hazelnut &amp; Chocolate Spread ที่ไม่มีน้ำตาลเพิ่มเติม คล้ายนู…,[],[],th,0.0,False,4,,False,0.0007291470014910579
42773," ทำไมคนไทยบางคนถึงยังมีชุดความคิดแบบนี้อยู่นะ จูบโดยที่เจ้าตัวไม่ยินยอมมันไม่ได้!!
#MewSexualHarassment ",[],['MewSexualHarassment'],th,0.0,False,643,,False,0.0035426021010607827
42853, อย่าเพิกเฉยต่อความป่าเถื่อน เพราะมันคือก้าวแรกแห่งการลดทอนความเป็นมนุษย์ของตัวเราเอง ขอยืนอยู่กับนักสู้ทุกคน,[],[],th,0.0,False,32,,False,2.9558856780016773e-05
42856, “ถ้าเป็นพี่มิว ไม่ต้องไปลวนลามใครหรอกค่ะ ทุกวันนี้ก็มีคนมายืนรอให้ลวนลามเต็มไปหมด” บทนี้ไม่ได้ไหม ด้อมนี้แปลกกว่าอีเส้นมากๆ…,[],[],th,0.0,False,94,,False,0.00223357761635269
42881," การดูแลลิซ่าให้ดี คือหน้าที่ของคุณYG

การทำงานที่ไม่เป็นมืออาชีพและทำให้แบรนด์กับค่ายมีปัญหากัน คือวิถีที่ค่ายต้นสังกัด…",[],[],th,0.0,False,101,,False,0.07606368332899544
42897," เช็คประชากร

      มัธยมต้น/ปลายรี                    มหาลัย/วัยทำงานเฟบ",[],[],th,0.0,False,67,,False,0.00016007851506953747
42907, เจอแรปใส่แบบนี้เอาไมค์มาปาใส่หัวมัมหมีก้อไม่โกดนุ แต่เจ่บ  ,[],[],th,1.0,False,52,,False,0.004061748763720451
42920," เทคนิค/รีวิวสำหรับการสอบ GAT ครับ 
#Dek64 #GATPAT #GATPAT64 ",[],"['Dek64', 'GATPAT', 'GATPAT64']",th,0.0,False,52,,False,0.03167563668291558
42952, กรี๊ดดดดดดดดด เป็นแจ้งเตือนที่กรี๊ดมาก ซีน่อนลูกกก #ฉลามซ่อนรัก ,[],['ฉลามซ่อนรัก'],th,0.0,False,23781,,False,0.002496203204393801
43001, อาร์มินผมดำใส่สูทเราจะตายห่ากันหมด😭 ,[],[],th,0.0,False,2016,,False,0.00010656871436844776
43070, นํ้าไรออกมาอีกกก  #เงี่ยน #เสียว #แลกรูป #เงี่ยนหีเย็ดเด็กมัธยม #fwbโคราช #fwbกทม #เงี่ยนหีเย็ดเด็กมัธยม #fwbกทม #fwbรังสิต…,[],"['เงี่ยน', 'เสียว', 'แลกรูป', 'เงี่ยนหีเย็ดเด็กมัธยม', 'fwbโคราช', 'fwbกทม', 'เงี่ยนหีเย็ดเด็กมัธยม', 'fwbกทม', 'fwbรังสิต']",th,0.0,False,37,,False,0.0010487766830438543
43072, คติประจำใจกูตอนนี้คือ... ,[],[],th,1.0,False,42,,False,0.00010985183402596376
43104," มีเค้กน่ารักๆ มาให้ด้วยน๊าา

@MSuppasit
#MewSuppasit
#MewlionsBDay ",[],"['MewSuppasit', 'MewlionsBDay']",th,0.0,False,233,,False,0.001386960796560388
43126, @yamyummy ถึงจะไม่ชอบขี้หน้ายังไงก็ขอให้ไม่เป็นอะไรมากนะ,[],[],th,0.0,False,34,,False,0.00010775333802877848
43175, เอียงคอเราไม่ว่า แต่อย่าเอียงหน้า เดี๋ยวก็โดนเราหอมแก้มหรอก,[],[],th,0.0,False,114,,False,0.0012481249034058783
43179," หล่ออจิงๆนะว่าบาป...เจนนพี่ว่าไม่พอวะต้องแกงอีก..😂😂
#JaneBNK48
#CherprangBNK48 ",[],"['JaneBNK48', 'CherprangBNK48']",th,0.0,False,114,,False,0.010444392778578072
43232, เหนื่อย ไม่ได้หมายถึงกูไปทำอะไรหนักๆแล้วเหนื่อยนะ แต่มันมีเรื่องในจิตใจในหัวเรื่องราวในชีวิตที่เจอที่คิดอยู่ตลอด จนกลายเป็น…,[],[],th,0.0,False,16,,False,0.00010113733527292953
43244, โล่งอกไปที ที่ไม่เอาไปซื้อเหล้าดื่ม ,[],[],th,1.0,False,80,,False,0.0013825917762105883
43262, จริงไม่จ้อจี้เมื่อกี้นั่งรถเมล์ใน nyc เจอคนเหยียดเอเชียบนรถเมล์มันคิดว่าเราเป็นคนจีนด่าเรากลางรถเมล์ตะโกนว่าพวกจีน พวกแพร่เ…,[],[],th,0.0,False,112,,False,0.003432481453017069
43270," ทำไมทำงี้อะบิว
5555555555555555555555555555555555555555555555555555555555555555555555555555555555 ",[],[],th,0.0,False,390,,False,0.0007249016878061416
43290, เป็นคนเบื่อง่ายที่ไม่เคยเบื่อเธอเลย,[],[],th,0.0,False,35,,False,0.001468871243930435
43297, ในวันที่โมเม้นไม่มี แจมินก็สอนให้เรียนรู้คำว่าชงๆไปก่อน ดื่มทิพย์ได้ไม่เป็นไร 5555555555555555 ,[],[],th,0.0,False,488,,False,0.006170448790374599
43340,ไปตายค่ะอีสัส ต่างคนต่างอยู่ไม่ได้หรอ จะจองเวรจองกรรมกันไปถึงไหน,[],[],th,0.0,False,42,,False,0.0003194102041321748
43345, อยากให้ทุกคน appreciate ตัวเองเยอะๆจริงๆนะ โอเค ถ้าหยิบตัวเองไปเทียบกับคนอื่นบ่อย มันคงเผลอบอกว่าตัวเองห่วยบ้าง อยากให้ลองเป…,[],[],th,0.0,False,137,,False,0.0019183366105869695
43364,@jentmxq_ เจ้น,[],[],th,0.0,False,82,,False,0.0001399414184482565
43393,@AlittleBird019 @Ammyzy_lovegot7 @GOT7Official ชุดปังมากกก  มันดีกว่าแฟชั่นจากตึกเก่าที่เราเข้าไม่ถึง #ชุดตึกเก่าอิหยั่งว่ะ,[],['ชุดตึกเก่าอิหยั่งว่ะ'],th,0.0,False,0,,False,0.00011941168969892576
43396, ดีลูกกกก #วินพรีม ,[],['วินพรีม'],th,0.0,False,2497,,False,0.021349045420313434
43433,@mnightsunoox เราค่ะ,[],[],th,0.0,False,176,,False,0.00015016221281372686
43437, อ้ย หนูน้องแจนขา🥺🤏🏻 ,[],[],th,0.0,False,274,,False,0.015559399800282484
43440, ดาราเค้าต้องใช้เวลานานแค่ไหนถึงจะมีข้อมูลมากเพียงพอ สงสัยเฉยๆ,[],[],th,0.0,False,216,,False,0.0006722697659517247
43468, สรุปเพลงของจวพหรือวน?,[],[],th,0.0,False,185,,False,0.006659055650250742
43529," #อิทธิริช พวกเธอถ้าวิวแตะ 555,555 ก่อน ep.2 จะมามีคนเปย์อีกแล้วเด้อตามนี้นะฮะ รีไปเยอะๆปั่นวิวเป็นนักปั่นแห่งชาติกัน😊👏 h…",[],['อิทธิริช'],th,0.0,False,81,,False,0.009451406588591726
43588," เวลาชอบใคร เเค่ผมเขาปลิวใจก็สั่นชิปหายเเล้ว
ประโยคนี้คือจริงสุด  ",[],[],th,0.0,False,22,,False,0.01424208738179061
